2019_05_13_22_46_37,,杨开智,混合,,,,,
L_Thign,L_calf,L_Foot,R_Thign,R_calf,R_Foot,Pelvis_x,Pelvis_y,Pelvis_z
-30.96,25.33,-8.31,7.25,16.16,-14.7,2.657302,-2.37516,0.2757874
-30.84,28.51,-8.88,4.92,24.09,-9.94,2.327072,-2.451096,0.2035217
-30.84,28.51,-8.88,4.92,24.09,-9.94,1.836392,-2.647728,0.02206421
-30.84,28.51,-8.88,4.92,24.09,-9.94,1.836392,-2.647728,0.02206421
-29.92,34.89,-14.02,-2.26,34.79,-6.54,1.540271,-2.955887,-0.2273254
-25.75,34.24,-15.96,-6.03,42.09,-3.44,1.513589,-3.164032,-0.3048248
-25.75,34.24,-15.96,-6.03,42.09,-3.44,1.513589,-3.164032,-0.3048248
-25.75,34.24,-15.96,-6.03,42.09,-3.44,1.517409,-3.381004,-0.3013306
-23.26,34.68,-18.65,-9.52,51.71,-1.63,1.501099,-3.63176,-0.2346573
-20.64,35.19,-21.48,-14.99,58.78,-3.79,1.4583,-3.773567,-0.1311569
-20.64,35.19,-21.48,-14.99,58.78,-3.79,1.4583,-3.773567,-0.1311569
-20.64,35.19,-21.48,-14.99,58.78,-3.79,1.417991,-3.730057,-0.03384399
-15.72,30.93,-21.27,-16.93,60.92,-7.14,1.398192,-3.571304,-0.03702545
-15.72,30.93,-21.27,-16.93,60.92,-7.14,1.398192,-3.571304,-0.03702545
-15.72,30.93,-21.27,-16.93,60.92,-7.14,1.415438,-3.330284,-0.1719589
-13.54,29.17,-21.2,-18.84,59.34,-14.59,1.527085,-3.190987,-0.3508072
-11.49,27.32,-20.92,-21.89,58.79,-17.48,1.722292,-3.096458,-0.5028763
-11.49,27.32,-20.92,-21.89,58.79,-17.48,1.722292,-3.096458,-0.5028763
-7.25,22.92,-19.81,-22.73,55.12,-19.67,2.030443,-3.048744,-0.6348419
-7.25,22.92,-19.81,-22.73,55.12,-19.67,2.106097,-3.092102,-0.6527405
-7.25,22.92,-19.81,-22.73,55.12,-19.67,2.106097,-3.092102,-0.6527405
-7.25,22.92,-19.81,-22.73,55.12,-19.67,2.166479,-3.116333,-0.7995529
-5.2,20.62,-19.1,-22.72,43.73,-22.42,1.585457,-2.623581,-1.513161
-1.16,15.95,-17.63,-21.92,36.13,-22.43,0.7891207,-2.448708,-2.137573
-1.16,15.95,-17.63,-21.92,36.13,-22.43,0.7891207,-2.448708,-2.137573
0.79,13.67,-16.92,-19.6,26.64,-25.63,0.3639508,-2.47467,-2.690758
0.79,13.67,-16.92,-19.6,26.64,-25.63,0.546596,-2.355713,-3.090889
0.79,13.67,-16.92,-19.6,26.64,-25.63,1.102955,-2.284897,-3.251709
0.79,13.67,-16.92,-19.6,26.64,-25.63,1.102955,-2.284897,-3.251709
2.57,11.04,-15.71,-19.23,13.46,-15.88,1.59855,-2.311821,-3.266472
4.86,8.4,-14.76,-19.72,9.92,-13.09,1.737002,-2.428406,-3.159615
4.86,8.4,-14.76,-19.72,9.92,-13.09,1.737002,-2.428406,-3.159615
5.23,8.03,-14.34,-22.07,10.9,-9.3,1.425813,-2.544052,-2.957581
5.23,8.03,-14.34,-22.07,10.9,-9.3,0.7711854,-2.654526,-2.77446
5.23,8.03,-14.34,-22.07,10.9,-9.3,0.0697813,-2.817528,-2.647591
5.23,8.03,-14.34,-22.07,10.9,-9.3,0.0697813,-2.817528,-2.647591
5.08,9.77,-15.22,-23.35,14.63,-8.48,-0.3990784,-3.043686,-2.53614
3.7,12.9,-13.77,-24.87,19.49,-7.99,-0.1375427,-3.135681,-2.416283
3.7,12.9,-13.77,-24.87,19.49,-7.99,-0.1375427,-3.135681,-2.416283
3.7,12.9,-13.77,-24.87,19.49,-7.99,0.3675835,-3.172523,-2.162766
3.7,12.9,-13.77,-24.87,19.49,-7.99,0.8848844,-3.171753,-1.768433
-1.4,26.04,-6.9,-23.57,26.21,-7.11,1.259538,-3.160675,-1.287674
-1.4,26.04,-6.9,-23.57,26.21,-7.11,1.259538,-3.160675,-1.287674
-1.4,26.04,-6.9,-23.57,26.21,-7.11,1.454514,-3.190956,-0.8273773
-4.44,32.18,-3.03,-19.53,30.07,-14.03,1.505203,-3.28521,-0.448555
-4.44,32.18,-3.03,-19.53,30.07,-14.03,1.505203,-3.28521,-0.448555
-7.8,38.71,0.47,-17.03,32.47,-18.18,1.486771,-3.414574,-0.1688004
-11.13,48,1.43,-14.7,31.34,-19.16,1.484668,-3.575012,0.02920532
-11.13,48,1.43,-14.7,31.34,-19.16,1.537987,-3.763153,0.1446457
-11.13,48,1.43,-14.7,31.34,-19.16,1.537987,-3.763153,0.1446457
-17,56.22,-1.31,-12.3,29.66,-19.24,1.698234,-3.947563,0.221077
-17,56.22,-1.31,-12.3,29.66,-19.24,1.769114,-3.958107,0.2284851
-19.17,59.88,-5.17,-8.07,26.3,-19.75,1.900656,-3.875633,0.2363892
-19.17,59.88,-5.17,-8.07,26.3,-19.75,1.900656,-3.875633,0.2363892
-21.16,61.73,-14.22,-5.94,24.3,-19.54,2.01607,-3.606773,0.2321396
-21.16,61.73,-14.22,-5.94,24.3,-19.54,1.988063,-3.410851,0.1695862
-21.16,61.73,-14.22,-5.94,24.3,-19.54,1.988063,-3.410851,0.1695862
-24.8,63.58,-18.21,-3.83,22.15,-18.81,1.870742,-3.174706,0.03591156
-26.16,62.19,-21.94,0.37,17.61,-18.13,1.776064,-2.931938,-0.1108093
-26.16,62.19,-21.94,0.37,17.61,-18.13,1.776119,-2.728828,-0.218071
-26.16,62.19,-21.94,0.37,17.61,-18.13,1.776119,-2.728828,-0.218071
-26.16,62.19,-21.94,0.37,17.61,-18.13,1.849052,-2.532364,-0.2908478
-27.1,55.21,-28.02,2.51,15.21,-17.57,2.054826,-2.275414,-0.3392715
-27.1,55.21,-28.02,2.51,15.21,-17.57,2.054826,-2.275414,-0.3392715
-27.44,50.25,-29.3,4.77,12.65,-17.01,2.553486,-1.984001,-0.2579422
-26.79,43.46,-28.99,9.01,7.43,-15.57,3.219131,-1.83683,-0.004325867
-26.79,43.46,-28.99,9.01,7.43,-15.57,3.704686,-1.598351,0.3495102
-26.79,43.46,-28.99,9.01,7.43,-15.57,3.704686,-1.598351,0.3495102
-26.79,43.46,-28.99,9.01,7.43,-15.57,3.728029,-1.407372,0.8105316
-25.87,29.57,-24.02,10.47,5.46,-14.78,3.642315,-1.390915,0.9092484
-24.99,22.94,-20.16,11.19,4.44,-13.69,3.615255,-1.505966,1.068916
-24.99,22.94,-20.16,11.19,4.44,-13.69,3.615255,-1.505966,1.068916
-25.67,19.31,-15.98,10.64,5.74,-13.82,4.198321,-1.981926,1.174286
-25.67,19.31,-15.98,10.64,5.74,-13.82,4.772757,-2.331932,1.176071
-25.67,19.31,-15.98,10.64,5.74,-13.82,4.772757,-2.331932,1.176071
-27,18.12,-9.59,9.74,7.96,-14.18,5.169441,-2.56057,1.264534
-27,18.12,-9.59,9.74,7.96,-14.18,5.232229,-2.675995,1.466751
-30.16,22.41,-7.47,8.47,11.18,-11.9,4.94613,-2.716858,1.703369
-30.16,22.41,-7.47,8.47,11.18,-11.9,4.94613,-2.716858,1.703369
-30.8,25.46,-6.61,4.48,20.5,-12.97,4.394135,-2.737122,1.864082
-30.8,25.46,-6.61,4.48,20.5,-12.97,3.747777,-2.818001,1.927925
-30.8,25.46,-6.61,4.48,20.5,-12.97,3.747777,-2.818001,1.927925
-30.68,32.38,-9.26,1.13,27.2,-10.48,3.212479,-2.943214,1.884674
-27.9,33.02,-11.84,-2.68,34.71,-0.9,2.894758,-3.154846,1.776329
-27.9,33.02,-11.84,-2.68,34.71,-0.9,2.78331,-3.37822,1.666367
-27.9,33.02,-11.84,-2.68,34.71,-0.9,2.78331,-3.37822,1.666367
-25.49,33.91,-14.7,-9.7,48.93,-2.67,2.791939,-3.739311,1.630112
-25.49,33.91,-14.7,-9.7,48.93,-2.67,2.797174,-3.850403,1.660568
-25.49,33.91,-14.7,-9.7,48.93,-2.67,2.797174,-3.850403,1.660568
-23.09,35.69,-18.2,-12.66,54.78,-2.73,2.687454,-4.269402,1.805946
-18,31.65,-18.86,-14.81,58.66,-6.66,2.47713,-4.474045,1.870186
-18,31.65,-18.86,-14.81,58.66,-6.66,2.221502,-4.423119,1.849091
-18,31.65,-18.86,-14.81,58.66,-6.66,2.221502,-4.423119,1.849091
-15.8,30,-18.99,-18.48,61.78,-9.94,1.967142,-4.09668,1.694519
-15.8,30,-18.99,-18.48,61.78,-9.94,1.80218,-3.657036,1.355644
-15.8,30,-18.99,-18.48,61.78,-9.94,1.80218,-3.657036,1.355644
-11.69,26.47,-18.7,-20.18,61.33,-13.02,1.777587,-3.349411,0.8916397
-9.57,24.35,-18.28,-22.57,60.41,-21.76,1.897021,-3.13002,0.413353
-7.42,21.74,-17.39,-23.16,51.91,-19.47,2.094245,-2.939621,-0.02577209
-7.42,21.74,-17.39,-23.16,51.91,-19.47,2.094245,-2.939621,-0.02577209
-7.42,21.74,-17.39,-23.16,51.91,-19.47,2.233304,-2.925789,-0.4080048
-7.42,21.74,-17.39,-23.16,51.91,-19.47,2.134548,-2.861549,-0.8878326
-3.19,17.19,-16.38,-23.18,46.22,-20.96,1.609085,-2.601715,-1.506767
-3.19,17.19,-16.38,-23.18,46.22,-20.96,1.609085,-2.601715,-1.506767
-1.09,14.35,-15.37,-22.06,38.67,-27.99,0.4852968,-2.36113,-2.35598
0.84,11.97,-14.43,-21.43,31.14,-26.32,0.2281957,-2.182739,-2.765251
0.84,11.97,-14.43,-21.43,31.14,-26.32,0.2281957,-2.182739,-2.765251
0.84,11.97,-14.43,-21.43,31.14,-26.32,0.4893612,-2.082481,-3.020981
0.84,11.97,-14.43,-21.43,31.14,-26.32,0.9381083,-2.034599,-3.121613
4.14,8.11,-13.63,-21.25,18.36,-17.52,1.221252,-2.177917,-3.028305
4.14,8.11,-13.63,-21.25,18.36,-17.52,1.221252,-2.177917,-3.028305
5.03,6.73,-12.93,-23.26,16.26,-15.25,1.148875,-2.350723,-2.728607
5.34,6.28,-12.55,-24.9,16.9,-12.52,0.6944003,-2.571442,-2.322105
5.34,6.28,-12.55,-24.9,16.9,-12.52,0.6944003,-2.571442,-2.322105
5.34,6.28,-12.55,-24.9,16.9,-12.52,0.04193926,-2.839996,-1.91127
5.25,7.74,-12.82,-26.54,20.54,-11.64,-0.5443726,-3.108879,-1.508774
5.25,7.74,-12.82,-26.54,20.54,-11.64,-0.8135071,-3.268227,-1.141151
5.25,7.74,-12.82,-26.54,20.54,-11.64,-0.8135071,-3.268227,-1.141151
3.91,10.91,-13.29,-27.55,24.88,-8.3,-0.6164551,-3.363487,-0.8056412
2.85,17.32,-16.05,-27.28,32.37,-13.68,-0.06872559,-3.450645,-0.4360504
2.85,17.32,-16.05,-27.28,32.37,-13.68,-0.06872559,-3.450645,-0.4360504
2.85,17.32,-16.05,-27.28,32.37,-13.68,0.873154,-3.528107,0.2331848
2.85,17.32,-16.05,-27.28,32.37,-13.68,1.328931,-3.606522,0.7034912
-0.9,24.21,-8.83,-26.43,35.19,-15.29,1.589652,-3.714577,1.131737
-0.9,24.21,-8.83,-26.43,35.19,-15.29,1.589652,-3.714577,1.131737
-3.86,30.48,-5.19,-21.98,34.09,-17.04,1.72073,-3.813683,1.492569
-3.86,30.48,-5.19,-21.98,34.09,-17.04,1.790364,-3.943756,1.778175
-7.07,40.25,-4.61,-18.99,35.38,-20.93,1.854679,-4.139244,2.011368
-7.07,40.25,-4.61,-18.99,35.38,-20.93,1.854679,-4.139244,2.011368
-13.7,49.99,1.84,-16.15,33.46,-21.09,1.929578,-4.402046,2.202538
-16.46,55.45,-0.04,-10.38,28.21,-21.23,2.004529,-4.665527,2.372223
-16.46,55.45,-0.04,-10.38,28.21,-21.23,2.004529,-4.665527,2.372223
-16.46,55.45,-0.04,-10.38,28.21,-21.23,2.064208,-4.827637,2.51519
-16.46,55.45,-0.04,-10.38,28.21,-21.23,2.116838,-4.681816,2.662918
-18.73,60.54,-4.3,-8.31,26.6,-21.3,2.190564,-4.034325,2.972908
-18.73,60.54,-4.3,-8.31,26.6,-21.3,2.190564,-4.034325,2.972908
-22.74,64.49,-12.48,-6.26,24.52,-20.89,2.205141,-3.831543,3.09507
-24.48,65.03,-16.81,-4.24,22.22,-19.8,2.180601,-3.381821,3.430412
-24.48,65.03,-16.81,-4.24,22.22,-19.8,2.180601,-3.381821,3.430412
-24.48,65.03,-16.81,-4.24,22.22,-19.8,2.098818,-3.149483,3.582001
-25.98,61.06,-23.52,-0.2,17.97,-19.2,1.98188,-2.952888,3.641174
-25.98,61.06,-23.52,-0.2,17.97,-19.2,1.865702,-2.787392,3.58741
-25.98,61.06,-23.52,-0.2,17.97,-19.2,1.865702,-2.787392,3.58741
-27.93,59.03,-26.14,1.82,15.69,-18.59,1.935466,-2.564384,3.473907
-28.23,54.47,-27.93,3.85,13.06,-17.34,2.492823,-2.190414,3.430954
-28.23,54.47,-27.93,3.85,13.06,-17.34,2.492823,-2.190414,3.430954
-28.23,54.47,-27.93,3.85,13.06,-17.34,3.390481,-1.937126,3.438339
-28,42.2,-27.55,7.64,8.89,-16.66,4.123386,-1.854134,3.517082
-26.8,34.41,-25.5,9.21,6.89,-15.55,4.421096,-1.686432,3.606331
-26.8,34.41,-25.5,9.21,6.89,-15.55,4.421096,-1.686432,3.606331
-26.8,34.41,-25.5,9.21,6.89,-15.55,4.360201,-1.708046,3.631348
-26.6,23.13,-17.55,10.85,4.86,-14.68,4.285134,-1.899086,3.568474
-26.6,23.13,-17.55,10.85,4.86,-14.68,4.635042,-2.404602,3.399864
-26.6,23.13,-17.55,10.85,4.86,-14.68,4.635042,-2.404602,3.399864
-28.24,21.72,-15.21,10.84,5.18,-14.35,5.034543,-2.742058,3.284889
-29.92,22.65,-12.63,9.11,9.43,-14.61,5.286177,-2.946793,3.197807
-29.92,22.65,-12.63,9.11,9.43,-14.61,5.286177,-2.946793,3.197807
-31.1,26.67,-9.13,7.39,13.39,-14.59,5.244178,-3.074211,3.135269
-31.1,26.67,-9.13,7.39,13.39,-14.59,4.902894,-3.188751,3.035835
-31.1,26.67,-9.13,7.39,13.39,-14.59,4.33976,-3.247948,2.803947
-31.1,26.67,-9.13,7.39,13.39,-14.59,4.33976,-3.247948,2.803947
-31.31,29.98,-9.38,5.1,18.4,-8.14,3.67887,-3.358932,2.460709
-30.19,35.5,-13.84,-2.09,32.59,-8.41,3.085598,-3.532402,2.060043
-30.19,35.5,-13.84,-2.09,32.59,-8.41,3.085598,-3.532402,2.060043
-25.89,34.36,-14.9,-5.98,40.22,-5.12,2.672661,-3.718781,1.645172
-25.89,34.36,-14.9,-5.98,40.22,-5.12,2.439793,-3.928741,1.262535
-25.89,34.36,-14.9,-5.98,40.22,-5.12,2.306855,-4.120247,0.9669647
-25.89,34.36,-14.9,-5.98,40.22,-5.12,2.306855,-4.120247,0.9669647
-23.57,34.58,-17.07,-12.75,50.51,1.56,2.202464,-4.350189,0.7727509
-20.85,34.79,-19.38,-15.21,58.03,-2.72,2.07362,-4.622162,0.6705551
-20.85,34.79,-19.38,-15.21,58.03,-2.72,2.07362,-4.622162,0.6705551
-16.08,30.7,-19.68,-18.97,62.28,-5.16,1.916348,-4.91346,0.640274
-16.08,30.7,-19.68,-18.97,62.28,-5.16,1.71376,-5.120644,0.6093445
-16.08,30.7,-19.68,-18.97,62.28,-5.16,1.635494,-5.110519,0.543251
-16.08,30.7,-19.68,-18.97,62.28,-5.16,1.635494,-5.110519,0.543251
-13.92,29.4,-20.12,-20.81,61.12,-11.62,1.608506,-5.065704,0.3500519
-9.69,25.27,-19.42,-22.39,59.34,-14.47,1.628776,-5.004494,0.02732086
-7.49,22.72,-18.69,-24.11,56.69,-23.79,1.712519,-4.948975,-0.3079224
-7.49,22.72,-18.69,-24.11,56.69,-23.79,1.712519,-4.948975,-0.3079224
-5.33,20.23,-17.66,-24.08,45.74,-20.39,1.831043,-4.952225,-0.6315689
-5.33,20.23,-17.66,-24.08,45.74,-20.39,1.879979,-5.045563,-1.064789
-5.33,20.23,-17.66,-24.08,45.74,-20.39,1.879979,-5.045563,-1.064789
-5.33,20.23,-17.66,-24.08,45.74,-20.39,1.60597,-4.79303,-1.748383
-1,15.51,-16.94,-23.47,38.52,-27.41,0.8904277,-4.583397,-2.580345
1.08,13,-16.2,-21.15,29.14,-25.35,0.1838684,-4.615936,-3.440071
1.08,13,-16.2,-21.15,29.14,-25.35,0.1838684,-4.615936,-3.440071
2.9,10.14,-14.84,-20.49,15.92,-16.4,0.2106037,-4.488434,-4.488861
5.21,7.37,-13.81,-20.86,12.33,-14.3,0.8967907,-4.436455,-4.951965
5.21,7.37,-13.81,-20.86,12.33,-14.3,0.8967907,-4.436455,-4.951965
5.21,7.37,-13.81,-20.86,12.33,-14.3,1.529828,-4.513725,-5.182831
5.21,7.37,-13.81,-20.86,12.33,-14.3,1.714855,-4.613731,-5.167038
5.44,7.06,-13.45,-22.97,13.04,-11.31,1.390074,-4.704018,-4.990486
5.44,7.06,-13.45,-22.97,13.04,-11.31,1.390074,-4.704018,-4.990486
5.44,7.06,-13.45,-22.97,13.04,-11.31,0.7559075,-4.810806,-4.761459
5.19,8.88,-13.48,-24.37,16.8,-10.73,0.06592607,-5.032837,-4.538116
5.19,8.88,-13.48,-24.37,16.8,-10.73,0.06592607,-5.032837,-4.538116
3.83,12.11,-13.42,-25.46,21.25,-6.78,-0.4182129,-5.274254,-4.350563
2.61,15.85,-12.56,-24.64,27.99,-11.53,-0.4801331,-5.404266,-4.183678
2.61,15.85,-12.56,-24.64,27.99,-11.53,-0.1245728,-5.449379,-3.936852
2.61,15.85,-12.56,-24.64,27.99,-11.53,-0.1245728,-5.449379,-3.936852
2.61,15.85,-12.56,-24.64,27.99,-11.53,0.7485988,-5.429718,-3.293793
0.88,23.72,-6.86,-23.24,30.42,-13.04,1.006624,-5.42865,-3.010689
-4.68,32.68,-3.04,-21.22,31.78,-14.9,1.447693,-5.447273,-2.054253
-4.68,32.68,-3.04,-21.22,31.78,-14.9,1.447693,-5.447273,-2.054253
-7.98,42.51,-2.46,-16.45,31.31,-18.94,1.510233,-5.420456,-1.39756
-7.98,42.51,-2.46,-16.45,31.31,-18.94,1.505715,-5.418236,-0.7744522
-7.98,42.51,-2.46,-16.45,31.31,-18.94,1.505715,-5.418236,-0.7744522
-7.98,42.51,-2.46,-16.45,31.31,-18.94,1.513598,-5.454254,-0.216156
-11.28,48.73,2.51,-14.06,30.01,-19.77,1.570134,-5.589722,0.2923965
-17.12,56.91,0.14,-11.9,28.56,-19.81,1.639895,-5.748703,0.7425842
-17.12,56.91,0.14,-11.9,28.56,-19.81,1.639895,-5.748703,0.7425842
-19.49,60.86,-3.7,-7.71,24.88,-19.97,1.700914,-5.826973,1.12088
-19.49,60.86,-3.7,-7.71,24.88,-19.97,1.76441,-5.793785,1.430824
-19.49,60.86,-3.7,-7.71,24.88,-19.97,1.76441,-5.793785,1.430824
-23.93,64.42,-12.82,-5.56,23.01,-19.9,1.826809,-5.501442,1.709793
-23.93,64.42,-12.82,-5.56,23.01,-19.9,1.910451,-5.022186,2.020844
-25.84,64.15,-16.95,-3.44,20.91,-19.2,1.995157,-4.590866,2.364044
-25.84,64.15,-16.95,-3.44,20.91,-19.2,1.995157,-4.590866,2.364044
-27.38,62.51,-20.6,0.61,16.54,-18.55,2.057693,-4.196121,2.711273
-27.38,62.51,-20.6,0.61,16.54,-18.55,2.091394,-3.901306,2.996246
-28.47,54.95,-26.67,2.57,14.39,-18.03,2.098734,-3.634911,3.140099
-28.47,54.95,-26.67,2.57,14.39,-18.03,2.098734,-3.634911,3.140099
-28.86,49.77,-28.2,4.44,12.31,-17.17,2.228497,-3.384727,3.054787
-28.86,49.77,-28.2,4.44,12.31,-17.17,2.676389,-3.196526,2.940468
-28.86,49.77,-28.2,4.44,12.31,-17.17,2.676389,-3.196526,2.940468
-28.19,36,-21.38,7.6,8.72,-16.38,3.353508,-3.025444,2.957375
-28.19,36,-21.38,7.6,8.72,-16.38,3.928731,-2.741043,3.086365
-26.41,27.67,-24.46,8.67,7.61,-15.92,4.107272,-2.624176,3.192657
-26.41,27.67,-24.46,8.67,7.61,-15.92,4.107272,-2.624176,3.192657
-26.2,21.84,-21.18,9.3,7.19,-15,3.975947,-2.560493,3.147881
-26.82,18.43,-17.33,9.58,8.49,-15.67,3.888051,-2.671883,3.026237
-26.82,18.43,-17.33,9.58,8.49,-15.67,3.888051,-2.671883,3.026237
-26.82,18.43,-17.33,9.58,8.49,-15.67,4.069576,-2.83136,2.84565
-26.82,18.43,-17.33,9.58,8.49,-15.67,4.658483,-3.088852,2.512993
-29.43,19.25,-11.31,9.12,10.46,-15.79,4.83072,-3.151421,2.424713
-29.43,19.25,-11.31,9.12,10.46,-15.79,4.83072,-3.151421,2.424713
-29.43,19.25,-11.31,9.12,10.46,-15.79,4.996583,-3.15361,2.337967
-29.43,19.25,-11.31,9.12,10.46,-15.79,4.664306,-2.973648,2.323242
-29.43,19.25,-11.31,9.12,10.46,-15.79,4.664306,-2.973648,2.323242
-30.47,27.52,-7.89,3.74,23.42,-12.35,4.164198,-2.824013,2.188141
-30.47,27.52,-7.89,3.74,23.42,-12.35,3.582285,-2.832657,1.917999
-29.13,33.36,-12.74,-3.65,34.29,-2.85,3.084184,-2.910759,1.574364
-29.13,33.36,-12.74,-3.65,34.29,-2.85,3.084184,-2.910759,1.574364
-27.2,34.85,-14.66,-7.15,41.48,-0.59,2.752661,-3.059219,1.219994
-27.2,34.85,-14.66,-7.15,41.48,-0.59,2.606267,-3.213959,0.9395294
-27.2,34.85,-14.66,-7.15,41.48,-0.59,2.569509,-3.332016,0.7826614
-27.2,34.85,-14.66,-7.15,41.48,-0.59,2.569509,-3.332016,0.7826614
-19.73,31.61,-17.92,-13.04,56.37,-6.71,2.547579,-3.439041,0.7628174
-19.73,31.61,-17.92,-13.04,56.37,-6.71,2.474329,-3.536835,0.8479538
-19.73,31.61,-17.92,-13.04,56.37,-6.71,2.474329,-3.536835,0.8479538
-17.35,31.17,-19.36,-16.7,60.85,-10.98,2.247514,-3.692238,1.065468
-13.23,27.69,-18.98,-18.44,61.14,-14.47,2.17059,-3.688286,1.143898
-11.2,26.07,-18.94,-21.18,61.16,-22.55,2.024183,-3.464165,1.311447
-11.2,26.07,-18.94,-21.18,61.16,-22.55,2.024183,-3.464165,1.311447
-11.2,26.07,-18.94,-21.18,61.16,-22.55,2.009785,-3.297333,1.299187
-9.11,24.2,-18.32,-21.97,53.7,-20.34,2.063648,-3.154381,1.214478
-9.11,24.2,-18.32,-21.97,53.7,-20.34,2.063648,-3.154381,1.214478
-9.11,24.2,-18.32,-21.97,53.7,-20.34,2.1432,-2.988396,1.167091
-5.17,20.25,-17.94,-22,48.32,-28.17,2.173423,-2.857063,1.217934
-5.17,20.25,-17.94,-22,48.32,-28.17,2.136173,-2.870766,1.37603
-5.17,20.25,-17.94,-22,48.32,-28.17,2.136173,-2.870766,1.37603
-3.34,18.37,-17.56,-21.32,34.54,-21.57,2.027902,-2.933578,1.533424
0.18,14.86,-16.9,-20.44,26.54,-20.01,1.688426,-2.611534,1.612198
0.18,14.86,-16.9,-20.44,26.54,-20.01,1.688426,-2.611534,1.612198
1.85,13.1,-16.47,-19.96,13.77,-14.88,0.8490453,-2.157204,1.326309
1.85,13.1,-16.47,-19.96,13.77,-14.88,-0.1527405,-2.070793,0.9177551
1.85,13.1,-16.47,-19.96,13.77,-14.88,-0.6037598,-2.072334,0.4712601
1.85,13.1,-16.47,-19.96,13.77,-14.88,-0.6037598,-2.072334,0.4712601
3.36,11.24,-15.44,-21.35,11.18,-12,-0.3900452,-1.962845,0.07897186
5.04,9.63,-15.11,-22.93,11.43,-8.31,0.436623,-2.163696,-0.2499466
5.19,9.86,-14.94,-24.78,15.89,-7.82,0.6538153,-2.376297,-0.2721252
5.19,9.86,-14.94,-24.78,15.89,-7.82,0.6538153,-2.376297,-0.2721252
5.19,9.86,-14.94,-24.78,15.89,-7.82,0.3561216,-2.568054,-0.1761627
5.19,9.86,-14.94,-24.78,15.89,-7.82,-0.3247681,-2.719475,-0.06022644
5.19,9.86,-14.94,-24.78,15.89,-7.82,-0.3247681,-2.719475,-0.06022644
4.86,11.04,-14.84,-27.4,21.97,-7.79,-1.107666,-2.930397,0.03053284
4.05,15.42,-13.75,-27.19,26.09,-8.67,-1.642212,-3.137947,0.085495
1.19,20.83,-11.59,-26.39,33.74,-12.51,-1.67984,-3.243073,0.1066055
1.19,20.83,-11.59,-26.39,33.74,-12.51,-1.67984,-3.243073,0.1066055
1.19,20.83,-11.59,-26.39,33.74,-12.51,-1.240295,-3.291946,0.1787643
1.19,20.83,-11.59,-26.39,33.74,-12.51,-0.5293884,-3.340706,0.3650589
1.19,20.83,-11.59,-26.39,33.74,-12.51,-0.5293884,-3.340706,0.3650589
-1.25,29.36,-11.29,-22.94,34.08,-15.4,0.2284116,-3.381134,0.659317
-4.39,35.88,0.15,-20.17,34.12,-17.68,0.8759895,-3.428635,1.007706
-11.18,45.93,3.58,-17.66,34.65,-20.06,1.32203,-3.498581,1.353615
-11.18,45.93,3.58,-17.66,34.65,-20.06,1.32203,-3.498581,1.353615
-11.18,45.93,3.58,-17.66,34.65,-20.06,1.560861,-3.600533,1.661446
-14.41,54.89,1.83,-12.59,30.19,-20.29,1.740749,-3.733498,1.972069
-14.41,54.89,1.83,-12.59,30.19,-20.29,1.740749,-3.733498,1.972069
-14.41,54.89,1.83,-12.59,30.19,-20.29,1.830377,-3.889481,2.068672
-17.1,59.37,-0.44,-10.28,28.28,-20.33,1.916735,-4.050201,2.078217
-21.29,64.16,-4.71,-8.16,26.36,-20.16,2.021968,-4.137329,2.023308
-21.29,64.16,-4.71,-8.16,26.36,-20.16,2.021968,-4.137329,2.023308
-21.29,64.16,-4.71,-8.16,26.36,-20.16,2.15871,-4.103394,1.967949
-23.19,65.61,-9.9,-4.09,22.15,-19.37,2.297805,-3.885574,1.984947
-23.19,65.61,-9.9,-4.09,22.15,-19.37,2.396552,-3.554344,2.107109
-23.19,65.61,-9.9,-4.09,22.15,-19.37,2.396552,-3.554344,2.107109
-24.86,63.1,-18.85,-2.09,19.96,-18.87,2.434766,-3.227715,2.316208
-27.23,61.9,-22.56,-0.2,17.86,-18.07,2.384377,-2.984985,2.537796
-27.23,61.9,-22.56,-0.2,17.86,-18.07,2.384377,-2.984985,2.537796
-27.23,61.9,-22.56,-0.2,17.86,-18.07,2.272067,-2.822258,2.699303
-27.67,58.11,-25.9,3.44,14.04,-17.65,2.13879,-2.742523,2.766632
-27.56,47.06,-22.44,5.21,12.09,-17.26,2.259723,-2.484436,2.771843
-27.56,47.06,-22.44,5.21,12.09,-17.26,2.259723,-2.484436,2.771843
-27.56,47.06,-22.44,5.21,12.09,-17.26,2.918449,-2.165344,2.898415
-25.92,38.77,-28.53,6.91,10.27,-16.91,3.76258,-1.968178,3.055344
-25.92,38.77,-28.53,6.91,10.27,-16.91,3.76258,-1.968178,3.055344
-24.94,30.89,-26.26,9.72,7.27,-16.21,4.335651,-1.670448,3.152504
-24.94,30.89,-26.26,9.72,7.27,-16.21,4.441406,-1.473991,3.165283
-24.94,30.89,-26.26,9.72,7.27,-16.21,4.287004,-1.523109,3.126549
-24.94,30.89,-26.26,9.72,7.27,-16.21,4.287004,-1.523109,3.126549
-24.66,19.14,-17.94,10.34,6.63,-16.18,4.21363,-1.767044,3.020271
-24.66,19.14,-17.94,10.34,6.63,-16.18,4.446233,-2.060928,2.859718
-24.66,19.14,-17.94,10.34,6.63,-16.18,4.446233,-2.060928,2.859718
