匀速步行,,,,,,,,
L_Thign,L_calf,L_Foot,R_Thign,R_calf,R_Foot,Pelvis_x,Pelvis_y,Pelvis_z
-7.16,21.68,-15.89,-22.78,45.53,-19.47,1.69731,-1.590179,2.914612
-7.16,21.68,-15.89,-22.78,45.53,-19.47,1.69731,-1.590179,2.914612
-7.16,21.68,-15.89,-22.78,45.53,-19.47,1.622059,-1.609589,2.788475
-7.16,21.68,-15.89,-22.78,45.53,-19.47,1.531048,-1.497795,2.557747
-3.85,18.38,-15.68,-22.83,39.47,-25.22,1.232622,-1.247261,2.213531
-3.85,18.38,-15.68,-22.83,39.47,-25.22,1.232622,-1.247261,2.213531
-2.21,16.68,-15.41,-22.47,26.4,-17.38,0.7609415,-0.9985886,1.895752
-0.61,14.98,-14.88,-22.58,20.92,-17.79,0.4482127,-0.8756866,1.693245
-0.61,14.98,-14.88,-22.58,20.92,-17.79,0.4482127,-0.8756866,1.693245
-0.61,14.98,-14.88,-22.58,20.92,-17.79,0.4019628,-0.863121,1.618622
-0.61,14.98,-14.88,-22.58,20.92,-17.79,0.4722028,-1.008354,1.65731
1.84,12.4,-14.55,-23.98,18.08,-14.26,0.5139557,-1.305031,1.808815
1.84,12.4,-14.55,-23.98,18.08,-14.26,0.5139557,-1.305031,1.808815
2.53,11.69,-13.95,-25.11,16.89,-10.79,0.3397365,-1.707764,2.215683
2.63,12.06,-13.71,-27.29,20.49,-6.77,0.06858205,-1.958496,2.521645
2.63,12.06,-13.71,-27.29,20.49,-6.77,0.06858205,-1.958496,2.521645
2.63,12.06,-13.71,-27.29,20.49,-6.77,-0.1930237,-2.162003,2.755569
2.08,14.95,-14.78,-27.32,26.77,-9.28,-0.2902527,-2.287544,2.904755
2.08,14.95,-14.78,-27.32,26.77,-9.28,-0.1178284,-2.361061,3.028679
2.08,14.95,-14.78,-27.32,26.77,-9.28,-0.1178284,-2.361061,3.028679
-0.49,19.63,-11.06,-27.03,30.32,-7.27,0.2765234,-2.427101,3.182724
-2.75,27.38,-11.24,-24.37,31,-8.63,0.7504549,-2.418144,3.390572
-2.75,27.38,-11.24,-24.37,31,-8.63,1.193383,-2.401321,3.688492
-2.75,27.38,-11.24,-24.37,31,-8.63,1.193383,-2.401321,3.688492
-5.59,33.38,-0.7,-19.94,32.26,-13.28,1.691542,-2.335014,4.255951
-12.1,43.14,2.58,-17.52,31.77,-14.57,1.895718,-2.286179,4.626633
-12.1,43.14,2.58,-17.52,31.77,-14.57,1.895718,-2.286179,4.626633
-12.1,43.14,2.58,-17.52,31.77,-14.57,1.963459,-2.255966,4.793213
-15.18,52.11,1.19,-15.15,31.57,-16.61,2.047628,-2.275612,5.077995
-15.18,52.11,1.19,-15.15,31.57,-16.61,2.133972,-2.410835,5.357758
-15.18,52.11,1.19,-15.15,31.57,-16.61,2.133972,-2.410835,5.357758
-17.91,57.05,-0.2,-12.98,30.14,-17.2,2.211962,-2.589447,5.435547
-20.26,60.64,-4.57,-8.86,26.54,-17.46,2.323059,-2.778168,5.420303
-20.26,60.64,-4.57,-8.86,26.54,-17.46,2.323059,-2.778168,5.420303
-24.17,63.8,-8.82,-6.92,24.91,-17.64,2.457677,-2.888039,5.344551
-24.17,63.8,-8.82,-6.92,24.91,-17.64,2.56379,-2.86937,5.274544
-24.17,63.8,-8.82,-6.92,24.91,-17.64,2.63357,-2.774788,5.229881
