上楼梯,,,,,,,,
L_Thign,L_calf,L_Foot,R_Thign,R_calf,R_Foot,Pelvis_x,Pelvis_y,Pelvis_z
-2.42,1.39,1.91,1.4,-1.27,-0.69,2.187561,-2.476418,48.94592
-2.44,1.41,1.9,1.38,-1.34,-0.59,2.16455,-2.605927,48.91309
-2.44,1.41,1.9,1.38,-1.34,-0.59,2.16455,-2.605927,48.91309
-2.44,1.41,1.9,1.38,-1.34,-0.59,2.134963,-2.735458,48.86469
-2.44,1.41,1.9,1.38,-1.34,-0.59,2.134963,-2.735458,48.86469
-2.44,1.41,1.9,1.38,-1.34,-0.59,2.134963,-2.735458,48.86469
-2.59,1.61,1.83,1.41,-1.43,-0.46,2.074274,-2.972862,48.80103
-2.59,1.61,1.83,1.41,-1.43,-0.46,2.074274,-2.972862,48.80103
-2.63,1.72,1.76,1.4,-1.41,-0.45,2.009199,-3.167824,48.75806
-2.63,1.72,1.76,1.4,-1.41,-0.45,2.009199,-3.167824,48.75806
-2.63,1.72,1.76,1.4,-1.41,-0.45,1.943357,-3.371262,48.67865
-2.63,1.72,1.76,1.4,-1.41,-0.45,1.943357,-3.371262,48.67865
-2.7,1.83,1.71,1.37,-1.36,-0.44,1.867985,-3.649055,48.48987
-2.7,1.83,1.71,1.37,-1.36,-0.44,1.867985,-3.649055,48.48987
-2.76,2.05,1.54,1.25,-1.15,-0.47,1.809054,-3.834991,48.29385
-2.76,2.05,1.54,1.25,-1.15,-0.47,1.809054,-3.834991,48.29385
-2.76,2.05,1.54,1.25,-1.15,-0.47,1.809054,-3.834991,48.29385
-2.76,2.05,1.54,1.25,-1.15,-0.47,1.766581,-4.003517,48.10168
-2.76,2.05,1.54,1.25,-1.15,-0.47,1.766581,-4.003517,48.10168
-2.84,2.37,1.27,0.94,-0.61,-0.65,1.693986,-4.248245,47.91449
-2.84,2.37,1.27,0.94,-0.61,-0.65,1.693986,-4.248245,47.91449
-2.85,2.48,1.15,0.73,-0.28,-0.78,1.535439,-4.525803,47.6164
-2.85,2.48,1.15,0.73,-0.28,-0.78,1.535439,-4.525803,47.6164
-2.85,2.48,1.15,0.73,-0.28,-0.78,1.373376,-5.03241,46.78686
-2.85,2.48,1.15,0.73,-0.28,-0.78,1.373376,-5.03241,46.78686
-2.77,2.68,0.87,-0.33,1.44,-1.54,1.474089,-5.933685,44.8327
-2.77,2.68,0.87,-0.33,1.44,-1.54,1.474089,-5.933685,44.8327
